id,description,source
1,Stanislas Wroza,http://www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC471567-2019-04-06%20Maccinaghio%20-%20Barcaghio%20Bergeronnette%20printaniere%20type%20flava%20iberiae.mp3
2,"Ministerul Mediului, Apelor și Pădurilor – direcția Biodiversitate,
Programul Operațional Sectorial – Mediu,
Proiect: 36586 SMIS-CSNR „Sistemul naţional de gestiune şi monitorizare a speciilor de păsări din România în baza articolului 12 din Directiva Păsări”
Proiect co-finanţat din Fondul European de Dezvoltare Regională prin Programul Operațional Sectorial Mediu.",http://monitorizareapasarilor.cndd.ro/atlasul_pasarilor.html
3,"Wikipedia, The Free Encyclopedia",https://wikipedia.org
4,riou,http://www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/XC474497-oedicn%C3%A8me%201h48.mp3
5,"Ministerul Mediului, Apelor și Pădurilor – direcția Biodiversitate,
Programul Operațional Sectorial – Mediu,
Proiect: 36586 SMIS-CSNR „Sistemul naţional de gestiune şi monitorizare a speciilor de păsări din România în baza articolului 12 din Directiva Păsări”
Proiect co-finanţat din Fondul European de Dezvoltare Regională prin Programul Operațional Sectorial Mediu.",http://monitorizareapasarilor.cndd.ro/atlasul_pasarilor.html
6,"Wikipedia, The Free Encyclopedia",https://wikipedia.org
7,Stanislas Wroza,http://www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC434837-2018-09-15%20Sion%20Lindre%20Alouette%20lulu%20migration.mp3
8,"Ministerul Mediului, Apelor și Pădurilor – direcția Biodiversitate,
Programul Operațional Sectorial – Mediu,
Proiect: 36586 SMIS-CSNR „Sistemul naţional de gestiune şi monitorizare a speciilor de păsări din România în baza articolului 12 din Directiva Păsări”
Proiect co-finanţat din Fondul European de Dezvoltare Regională prin Programul Operațional Sectorial Mediu.",http://monitorizareapasarilor.cndd.ro/atlasul_pasarilor.html
9,"Wikipedia, The Free Encyclopedia",https://wikipedia.org
10,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/sounds/uploaded/RJNSQXBIJE/XC306692-2.%20Columba%20livia%20XC.MP3
11,"Ministerul Mediului, Apelor și Pădurilor – direcția Biodiversitate,
Programul Operațional Sectorial – Mediu,
Proiect: 36586 SMIS-CSNR „Sistemul naţional de gestiune şi monitorizare a speciilor de păsări din România în baza articolului 12 din Directiva Păsări”
Proiect co-finanţat din Fondul European de Dezvoltare Regională prin Programul Operațional Sectorial Mediu.",http://monitorizareapasarilor.cndd.ro/atlasul_pasarilor.html
12,"Wikipedia, The Free Encyclopedia",https://wikipedia.org
13,Anthony Wetherhill,http://www.xeno-canto.org/sounds/uploaded/XGWHOCVWZE/XC462898-Willow%20Tit.mp3
