id,type,property,externalLink,attributionId
1,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/XC527524-Yellow%20Wagtail%20Blue-cheeked%20Bee-eater%20Ouarzazate%20170403_2347.mp3,1
2,Paint,None,,2
3,Sound,None,http://www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/XC495979-Griel%2C%20call%2C%20Aiguamolles%20de%20l%27emporda%2C%20190819%2C%200146%20uur.mp3,5
4,Paint,None,,6
5,Sound,None,http://www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC523259-2019-10-26%20Cap%20Ferret%20Alouette%20lulu%20cris%20roules.mp3,9
6,Paint,None,,10
7,Sound,None,http://www.xeno-canto.org/sounds/uploaded/RJNSQXBIJE/XC306692-2.%20Columba%20livia%20XC.MP3,13
8,Paint,None,,14
9,Sound,None,http://www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC493864-Poecile%20montanus%20190821_001%2C%D0%94%D0%BE%D0%BB%D0%B3%D0%B0%D1%8F%20%D1%80%D0%B5%D1%87%D0%BA%D0%B0%20%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%2C%206-35%2C%20AA%2B%20miration%20call.MP3,17
10,Paint,None,,18
11,Sound,None,http://www.xeno-canto.org/sounds/uploaded/PJVICFDZGZ/XC352469-160917_0887%200840%20Monte%20Juliana_Pas%20Hisp%2003%20Str%20Dec.mp3,21
12,Paint,None,,22
13,Sound,None,http://www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC183981-Lanius%20minor%20140513_027%2C%D0%A1.MP3,25
14,Paint,None,,26
15,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/XC528360-Spotted%20Crake%20Texel%20180512-013.mp3,29
16,Paint,None,,30
17,Sound,None,http://www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/XC509549-190423_0902_CO.mp3,33
18,Paint,None,,34
19,Sound,None,http://www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/XC479220-wiedh0858.mp3,37
20,Paint,None,,38
21,Sound,None,http://www.xeno-canto.org/sounds/uploaded/FAMEEAPTYE/XC526042-nightingale%2011114.mp3,41
22,Paint,None,,42
23,Sound,None,http://www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/XC521999-200116-145354piscopeitoazul.mp3,45
24,Paint,None,,46
25,Sound,None,http://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/XC511655-FRICOE301119-T005.mp3,49
26,Paint,None,,50
27,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/XC528460-Greylag%20Goose%20De%20Cocksdorp%20180808_3413%200200u.mp3,53
28,Paint,None,,54
29,Sound,None,http://www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/XC247615-asio_flammeus_honczarowska_biebrzanski_park_02.06.2015_2229.mp3,57
30,Paint,None,,58
31,Sound,None,http://www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/XC509553-190425_0907_Ser-ser.mp3,61
32,Paint,None,,62
33,Sound,None,http://www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC471735-2019-04-11%20Prunete%20Lucciana%20Marouette%20poussin%20une%20pseudo%20phrase%20de%20chant.mp3,65
34,Paint,None,,66
35,Sound,None,http://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC490923-pe%C5%82zacz%20le%C5%9Bny%20call%20Mogielnica.mp3,69
36,Paint,None,,70
37,Sound,None,http://www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/XC432478-R%C3%B6dstrupig%20pipl%C3%A4rka_02.mp3,73
38,Paint,None,,74
39,Sound,None,http://www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC485002-2019-06-29%20Litsvyanka%20prairie%20magique%20Gelinotte%20des%20bois%20un%20chant.mp3,77
40,Paint,None,,78
41,Sound,None,http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC450338-Galerida_cristata_somaliensis-FL%20ground%20c80km%20N%20of%20Marsabit%2017Nov18%208.15am%20LS112502a.mp3,81
42,Paint,None,,82
43,Sound,None,http://www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/XC371750-houtsnip_leusderhei1.mp3,85
44,Paint,None,,86
45,Sound,None,http://www.xeno-canto.org/sounds/uploaded/XAMHIHFTZG/XC331132-call4.mp3,89
46,Paint,None,,90
47,Sound,None,http://www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/XC513287-Dodaars%2C%20101119%2C%202336%20uur.mp3,93
48,Paint,None,,94
49,Sound,None,http://www.xeno-canto.org/sounds/uploaded/NIUCRGHZWN/XC507631-Emberiza%20cirlus%2018082019%20Ninski%20Stanovi%20Zbigniew%20Kajzer.mp3,97
50,Paint,None,,98
51,Sound,None,http://www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/XC510499-Fulica%20atra__2019.11.13_12.22_01.mp3,101
52,Paint,None,,102
53,Sound,None,http://www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/XC524604-Erithacus%20rubecula_2020.02.03_11.22_01.mp3,105
54,Paint,None,,106
55,Sound,None,http://www.xeno-canto.org/sounds/uploaded/VFMLXNQVNW/XC451122-LS102943_Notenkraker_subsong_Wageningen_20190112_1116.mp3,109
56,Paint,None,,110
57,Sound,None,http://www.xeno-canto.org/sounds/uploaded/HOJQQPSMXK/XC459281-190226_02_LP_0905_FB.mp3,113
58,Paint,None,,114
59,Sound,None,http://www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/XC383387-Rouwmees%2C%20call%2C%20RH%2C%20050817%200926%20uur.mp3,117
60,Paint,None,,118
61,Sound,None,http://www.xeno-canto.org/sounds/uploaded/VDDNUZBUBY/XC502923-Zwartkop.mp3,121
62,Paint,None,,122
63,Sound,None,http://www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/XC465232-Jastrz%C4%85b_Acipiter_gentilis_f_Poland_Jarek_Matusiak_001.mp3,125
